Ano,Produto,Categoria,Evento,Coluna,Inicio,Fim
2026,Graduação EAD,Aproveitamento de Estudos,Solicitação de Aproveitamento de Estudos - Veteranos,51,20/09/2025,19/02/2026
2026,Graduação EAD,Aproveitamento de Estudos,Solicitação de Aproveitamento de Estudos - Candidatos Ingressantes,51,21/10/2025,11/03/2026
2026,Graduação EAD,Aproveitamento de Estudos,Solicitação de Aproveitamento de Estudos - Ingressantes,51,21/10/2025,11/03/2026
2026,Graduação EAD,Aproveitamento de Estudos,Prazo para análise de aproveitamento - Veteranos,51,21/02/2026,21/02/2026
2026,Graduação EAD,Aproveitamento de Estudos,Prazo para ajustes na secretaria - Aproveitamento - Veteranos,51,24/02/2026,24/02/2026
2026,Graduação EAD,Aproveitamento de Estudos,Prazo para análise de aproveitamento - Candidatos Ingressantes,51,14/03/2026,14/03/2026
2026,Graduação EAD,Aproveitamento de Estudos,Prazo para análise de aproveitamento - Ingressantes,51,14/03/2026,14/03/2026
2026,Graduação EAD,Divisão de turmas,Solicitação para Divisão de Turmas,51,19/01/2026,23/01/2026
2026,Graduação EAD,Divisão de turmas,Ajustes de divisão de turmas pela Secretaria Acadêmica,51,26/01/2026,30/01/2026
2026,Graduação EAD,Divisão de turmas,Alimentação dos ambientes,51,02/02/2026,06/02/2026
2026,Graduação EAD,Divisão de turmas,Ambientes prontos,51,09/02/2026,09/02/2026
2026,Graduação EAD,Fechamento de Período e Rematrícula,Fechamento de Período e Rematrícula (módulo subsequente*),51,01/06/2026,05/06/2026
2026,Graduação EAD,Fechamento de Período e Rematrícula,1º disparo de livros (módulo subsequente*),51,08/06/2026,08/06/2026
2026,Graduação EAD,Fechamento de Período e Rematrícula,Ação Rematrícula** (Ajustes DP/ADAP),51,08/06/2026,12/06/2026
2026,Graduação EAD,Fechamento de Período e Rematrícula,Liberação de base no Portal de Negociações (Cobrança),51,08/06/2026,08/06/2026
2026,Graduação EAD,Fechamento de Período e Rematrícula,Ação Rematrícula** (Alunos sem matrícula e adimplentes),51,15/06/2026,19/06/2026
2026,Graduação EAD,Lançamento de notas,Lançamento de notas - 1ª disciplina,51,27/04/2026,27/04/2026
2026,Graduação EAD,Lançamento de notas,Lançamento de notas - SUB - 1ª Disciplina,51,25/05/2026,25/05/2026
2026,Graduação EAD,Lançamento de notas,Lançamento de notas - 2ª disciplina,51,29/05/2026,29/05/2026
2026,Graduação EAD,Lançamento de notas,Lançamento de notas - SUB - 2ª Disciplina,51,29/06/2026,29/06/2026
2026,Graduação EAD,Outras rotinas,Processo de Evasão,51,06/07/2026,10/07/2026
2026,Graduação EAD,Outros serviços atendidos pela Secretaria,Abertura de turmas (rotina da Secretaria),51,,
2026,Graduação EAD,Outros serviços atendidos pela Secretaria,Solicitação de Alteração de matrizes,51,,
2026,Graduação EAD,Período letivo,Período letivo,51,23/02/2026,02/05/2026
2026,Graduação EAD,Rematrícula automática,Rematrícula automática do módulo,51,01/12/2025,23/03/2026
2026,Graduação EAD,Rematrícula automática,Prazo para negociação (entrada no módulo com boleto D+2),51,16/03/2026,16/03/2026
2026,Graduação EAD,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Mudança de Curso - Demais Cursos,51,15/10/2025,10/03/2026
2026,Graduação EAD,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Reabertura de Matrícula - Inadimplentes,51,16/10/2025,18/03/2026
2026,Graduação EAD,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Reabertura de Matrícula - Adimplentes,51,21/10/2025,23/03/2026
2026,Graduação EAD,Serviços atendidos pelo CSC - Secretaria e Financeiro,Prazo para ajustes na secretaria - Reabertura,51,20/03/2026,27/03/2026
2026,Graduação EAD,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Cancelamento de DP/ADAP,51,15/12/2025,30/03/2026
2026,Graduação EAD,Aproveitamento de Estudos,Solicitação de Aproveitamento de Estudos - Veteranos,52,20/02/2026,30/04/2026
2026,Graduação EAD,Aproveitamento de Estudos,Solicitação de Aproveitamento de Estudos - Candidatos Ingressantes,52,17/03/2026,13/05/2026
2026,Graduação EAD,Aproveitamento de Estudos,Solicitação de Aproveitamento de Estudos - Ingressantes,52,17/03/2026,13/05/2026
2026,Graduação EAD,Aproveitamento de Estudos,Prazo para análise de aproveitamento - Veteranos,52,02/05/2026,02/05/2026
2026,Graduação EAD,Aproveitamento de Estudos,Prazo para ajustes na secretaria - Aproveitamento - Veteranos,52,05/05/2026,05/05/2026
2026,Graduação EAD,Aproveitamento de Estudos,Prazo para análise de aproveitamento - Candidatos Ingressantes,52,16/05/2026,16/05/2026
2026,Graduação EAD,Aproveitamento de Estudos,Prazo para análise de aproveitamento - Ingressantes,52,16/05/2026,16/05/2026
2026,Graduação EAD,Divisão de turmas,Solicitação para Divisão de Turmas,52,30/03/2026,03/04/2026
2026,Graduação EAD,Divisão de turmas,Ajustes de divisão de turmas pela Secretaria Acadêmica,52,06/04/2026,10/04/2026
2026,Graduação EAD,Divisão de turmas,Alimentação dos ambientes,52,13/04/2026,17/04/2026
2026,Graduação EAD,Divisão de turmas,Ambientes prontos,52,20/04/2026,20/04/2026
2026,Graduação EAD,Fechamento de Período e Rematrícula,Fechamento de Período e Rematrícula (módulo subsequente*),52,17/08/2026,21/08/2026
2026,Graduação EAD,Fechamento de Período e Rematrícula,1º disparo de livros (módulo subsequente*),52,24/08/2026,24/08/2026
2026,Graduação EAD,Fechamento de Período e Rematrícula,Ação Rematrícula** (Ajustes DP/ADAP),52,24/08/2026,28/08/2026
2026,Graduação EAD,Fechamento de Período e Rematrícula,Liberação de base no Portal de Negociações (Cobrança),52,24/08/2026,24/08/2026
2026,Graduação EAD,Fechamento de Período e Rematrícula,Ação Rematrícula** (Alunos sem matrícula e adimplentes),52,30/08/2026,03/09/2026
2026,Graduação EAD,Lançamento de notas,Lançamento de notas - 1ª disciplina,52,06/07/2026,06/07/2026
2026,Graduação EAD,Lançamento de notas,Lançamento de notas - SUB - 1ª Disciplina,52,03/08/2026,03/08/2026
2026,Graduação EAD,Lançamento de notas,Lançamento de notas - 2ª disciplina,52,14/08/2026,14/08/2026
2026,Graduação EAD,Lançamento de notas,Lançamento de notas - SUB - 2ª Disciplina,52,14/09/2026,14/09/2026
2026,Graduação EAD,Outras rotinas,Processo de Evasão,52,21/09/2026,25/09/2026
2026,Graduação EAD,Outros serviços atendidos pela Secretaria,Solicitação de Alteração de matrizes,52,12/12/2025,12/12/2025
2026,Graduação EAD,Outros serviços atendidos pela Secretaria,Abertura de turmas (rotina da Secretaria),52,05/01/2026,05/01/2026
2026,Graduação EAD,Período letivo,Período letivo,52,04/05/2026,11/07/2026
2026,Graduação EAD,Rematrícula automática,Rematrícula automática do módulo,52,24/03/2026,22/05/2026
2026,Graduação EAD,Rematrícula automática,Prazo para negociação (entrada no módulo com boleto D+2),52,18/05/2026,18/05/2026
2026,Graduação EAD,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Mudança de Curso - Demais Cursos,52,11/03/2026,19/05/2026
2026,Graduação EAD,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Reabertura de Matrícula - Adimplentes,52,24/03/2026,18/05/2026
2026,Graduação EAD,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Reabertura de Matrícula - Inadimplentes,52,18/03/2026,13/05/2026
2026,Graduação EAD,Serviços atendidos pelo CSC - Secretaria e Financeiro,Prazo para ajustes na secretaria - Reabertura,52,22/05/2026,22/05/2026
2026,Graduação EAD,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Cancelamento de DP/ADAP,52,06/04/2026,29/06/2026
2026,Graduação EAD,Aproveitamento de Estudos,Solicitação de Aproveitamento de Estudos - Veteranos,53,01/05/2026,16/07/2026
2026,Graduação EAD,Aproveitamento de Estudos,Solicitação de Aproveitamento de Estudos - Candidatos Ingressantes,53,19/05/2026,12/08/2026
2026,Graduação EAD,Aproveitamento de Estudos,Solicitação de Aproveitamento de Estudos - Ingressantes,53,19/05/2026,12/08/2026
2026,Graduação EAD,Aproveitamento de Estudos,Prazo para análise de aproveitamento - Veteranos,53,18/07/2026,18/07/2026
2026,Graduação EAD,Aproveitamento de Estudos,Prazo para ajustes na secretaria - Aproveitamento - Veteranos,53,21/07/2026,21/07/2026
2026,Graduação EAD,Aproveitamento de Estudos,Prazo para análise de aproveitamento - Candidatos Ingressantes,53,15/08/2026,15/08/2026
2026,Graduação EAD,Aproveitamento de Estudos,Prazo para análise de aproveitamento - Ingressantes,53,15/08/2026,15/08/2026
2026,Graduação EAD,Divisão de turmas,Solicitação para Divisão de Turmas,53,15/06/2026,19/06/2026
2026,Graduação EAD,Divisão de turmas,Ajustes de divisão de turmas pela Secretaria Acadêmica,53,22/06/2026,26/06/2026
2026,Graduação EAD,Divisão de turmas,Alimentação dos ambientes,53,29/06/2026,03/07/2026
2026,Graduação EAD,Divisão de turmas,Ambientes prontos,53,06/07/2026,06/07/2026
2026,Graduação EAD,Fechamento de Período e Rematrícula,Fechamento de Período e Rematrícula (módulo subsequente*),53,27/10/2026,02/11/2026
2026,Graduação EAD,Fechamento de Período e Rematrícula,1º disparo de livros (módulo subsequente*),53,03/11/2026,03/11/2026
2026,Graduação EAD,Fechamento de Período e Rematrícula,Ação Rematrícula** (Ajustes DP/ADAP),53,03/11/2026,10/11/2026
2026,Graduação EAD,Fechamento de Período e Rematrícula,Liberação de base no Portal de Negociações (Cobrança),53,03/11/2026,03/11/2026
2026,Graduação EAD,Fechamento de Período e Rematrícula,Ação Rematrícula** (Alunos sem matrícula e adimplentes),53,11/11/2026,17/11/2026
2026,Graduação EAD,Lançamento de notas,Lançamento de notas - 1ª disciplina,53,21/09/2026,21/09/2026
2026,Graduação EAD,Lançamento de notas,Lançamento de notas - SUB - 1ª Disciplina,53,19/10/2026,19/10/2026
2026,Graduação EAD,Lançamento de notas,Lançamento de notas - 2ª disciplina,53,26/10/2026,26/10/2026
2026,Graduação EAD,Lançamento de notas,Lançamento de notas - SUB - 2ª Disciplina,53,23/11/2026,23/11/2026
2026,Graduação EAD,Outras rotinas,Processo de Evasão,53,14/12/2026,18/12/2026
2026,Graduação EAD,Outros serviços atendidos pela Secretaria,Solicitação de Alteração de matrizes,53,23/04/2026,23/04/2026
2026,Graduação EAD,Outros serviços atendidos pela Secretaria,Abertura de turmas (rotina da Secretaria),53,30/04/2026,30/04/2026
2026,Graduação EAD,Período letivo,Período letivo,53,20/07/2026,26/09/2026
2026,Graduação EAD,Rematrícula automática,Rematrícula automática do módulo,53,06/06/2026,21/08/2026
2026,Graduação EAD,Rematrícula automática,Prazo para negociação (entrada no módulo com boleto D+2),53,17/08/2026,17/08/2026
2026,Graduação EAD,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Reabertura de Matrícula - Adimplentes,53,19/05/2026,17/08/2026
2026,Graduação EAD,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Mudança de Curso - Demais Cursos,53,20/05/2026,04/08/2026
2026,Graduação EAD,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Reabertura de Matrícula - Inadimplentes,53,20/05/2026,12/08/2026
2026,Graduação EAD,Serviços atendidos pelo CSC - Secretaria e Financeiro,Prazo para ajustes na secretaria - Reabertura,53,21/08/2026,21/08/2026
2026,Graduação EAD,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Cancelamento de DP/ADAP,53,06/07/2026,28/09/2026
2026,Graduação EAD,Aproveitamento de Estudos,Solicitação de Aproveitamento de Estudos - Veteranos,54,17/07/2026,24/09/2026
2026,Graduação EAD,Aproveitamento de Estudos,Solicitação de Aproveitamento de Estudos - Candidatos Ingressantes,54,18/08/2026,14/10/2026
2026,Graduação EAD,Aproveitamento de Estudos,Solicitação de Aproveitamento de Estudos - Ingressantes,54,18/08/2026,14/10/2026
2026,Graduação EAD,Aproveitamento de Estudos,Prazo para análise de aproveitamento - Veteranos,54,26/09/2026,26/09/2026
2026,Graduação EAD,Aproveitamento de Estudos,Prazo para ajustes na secretaria - Aproveitamento - Veteranos,54,29/09/2026,29/09/2026
2026,Graduação EAD,Aproveitamento de Estudos,Prazo para análise de aproveitamento - Candidatos Ingressantes,54,17/10/2026,17/10/2026
2026,Graduação EAD,Aproveitamento de Estudos,Prazo para análise de aproveitamento - Ingressantes,54,17/10/2026,17/10/2026
2026,Graduação EAD,Divisão de turmas,Solicitação para Divisão de Turmas,54,24/08/2026,28/08/2026
2026,Graduação EAD,Divisão de turmas,Ajustes de divisão de turmas pela Secretaria Acadêmica,54,31/08/2026,04/09/2026
2026,Graduação EAD,Divisão de turmas,Alimentação dos ambientes,54,07/09/2026,11/09/2026
2026,Graduação EAD,Divisão de turmas,Ambientes prontos,54,14/09/2026,14/09/2026
2026,Graduação EAD,Fechamento de Período e Rematrícula,Fechamento de Período e Rematrícula (módulo subsequente*),54,04/01/2027,08/01/2027
2026,Graduação EAD,Fechamento de Período e Rematrícula,1º disparo de livros (módulo subsequente*),54,11/01/2027,11/01/2027
2026,Graduação EAD,Fechamento de Período e Rematrícula,Ação Rematrícula** (Ajustes DP/ADAP),54,11/01/2027,15/01/2027
2026,Graduação EAD,Fechamento de Período e Rematrícula,Liberação de base no Portal de Negociações (Cobrança),54,11/01/2027,11/01/2027
2026,Graduação EAD,Fechamento de Período e Rematrícula,Ação Rematrícula** (Alunos sem matrícula e adimplentes),54,18/01/2027,22/01/2027
2026,Graduação EAD,Lançamento de notas,Lançamento de notas - 1ª disciplina,54,30/11/2026,30/11/2026
2026,Graduação EAD,Lançamento de notas,Lançamento de notas - 2ª disciplina,54,22/12/2026,22/12/2026
2026,Graduação EAD,Lançamento de notas,Lançamento de notas - SUB - 1ª Disciplina,54,22/12/2026,22/12/2026
2026,Graduação EAD,Lançamento de notas,Lançamento de notas - SUB - 2ª Disciplina,54,08/02/2027,08/02/2027
2026,Graduação EAD,Outras rotinas,Processo de Evasão,54,15/03/2027,19/03/2027
2026,Graduação EAD,Outros serviços atendidos pela Secretaria,Solicitação de Alteração de matrizes,54,09/07/2026,09/07/2026
2026,Graduação EAD,Outros serviços atendidos pela Secretaria,Abertura de turmas (rotina da Secretaria),54,16/07/2026,16/07/2026
2026,Graduação EAD,Período letivo,Período letivo,54,28/09/2026,05/12/2026
2026,Graduação EAD,Rematrícula automática,Rematrícula automática do módulo,54,22/08/2026,23/10/2026
2026,Graduação EAD,Rematrícula automática,Prazo para negociação (entrada no módulo com boleto D+2),54,19/10/2026,19/10/2026
2026,Graduação EAD,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Mudança de Curso - Demais Cursos,54,05/08/2026,13/10/2026
2026,Graduação EAD,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Reabertura de Matrícula - Inadimplentes,54,05/08/2026,14/10/2026
2026,Graduação EAD,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Reabertura de Matrícula - Adimplentes,54,18/08/2026,19/10/2026
2026,Graduação EAD,Serviços atendidos pelo CSC - Secretaria e Financeiro,Prazo para ajustes na secretaria - Reabertura,54,23/10/2026,23/10/2026
2026,Graduação EAD,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Cancelamento de DP/ADAP,54,05/10/2026,30/11/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Solicitação de Aproveitamento de Estudos - Veteranos,71,20/09/2025,19/02/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Solicitação de Aproveitamento de Estudos - Candidatos Ingressantes,71,21/10/2025,11/03/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Solicitação de Aproveitamento de Estudos - Ingressantes,71,21/10/2025,11/03/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Prazo para análise de aproveitamento - Veteranos,71,21/02/2026,21/02/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Prazo para ajustes na secretaria - Aproveitamento - Veteranos,71,24/02/2026,24/02/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Prazo para análise de aproveitamento - Candidatos Ingressantes,71,14/03/2026,14/03/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Prazo para análise de aproveitamento - Ingressantes,71,14/03/2026,14/03/2026
2026,Profissionalizantes,Fechamento de Período e Rematrícula,Fechamento de Período e Rematrícula (módulo subsequente*),71,28/04/2026,03/05/2026
2026,Profissionalizantes,Fechamento de Período e Rematrícula,Ação Rematrícula** (Ajustes DP/ADAP),71,04/05/2026,05/05/2026
2026,Profissionalizantes,Fechamento de Período e Rematrícula,Liberação de base no Portal de Negociações (Cobrança),71,04/05/2026,04/05/2026
2026,Profissionalizantes,Fechamento de Período e Rematrícula,Ação Rematrícula** (Alunos sem matrícula e adimplentes),71,06/05/2026,07/05/2026
2026,Profissionalizantes,Lançamento de notas,Lançamento de notas,71,27/04/2026,27/04/2026
2026,Profissionalizantes,Outras rotinas,Processo de Evasão,71,06/07/2026,10/07/2026
2026,Profissionalizantes,Outros serviços atendidos pela Secretaria,Abertura de turmas (rotina da Secretaria),71,,
2026,Profissionalizantes,Outros serviços atendidos pela Secretaria,Solicitação de Alteração de matrizes,71,,
2026,Profissionalizantes,Período letivo,Período letivo,71,23/02/2026,25/04/2026
2026,Profissionalizantes,Rematrícula automática,Rematrícula automática do módulo,71,01/02/2026,23/03/2026
2026,Profissionalizantes,Rematrícula automática,Prazo para negociação (entrada no módulo com boleto D+2),71,16/03/2026,16/03/2026
2026,Graduação EAD,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Mudança de Curso - Engenharias,51,26/09/2025,19/02/2026
2026,Graduação EAD,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Mudança de Curso - Engenharias,52,20/02/2026,30/04/2026
2026,Graduação EAD,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Mudança de Curso - Engenharias,53,01/05/2026,16/07/2026
2026,Graduação EAD,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Mudança de Curso - Engenharias,54,17/07/2026,24/09/2026
2026,Profissionalizantes,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Mudança de Curso,71,15/10/2025,10/03/2026
2026,Profissionalizantes,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Reabertura de Matrícula - Inadimplentes,71,16/10/2025,18/03/2026
2026,Profissionalizantes,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Reabertura de Matrícula - Adimplentes,71,21/10/2025,23/03/2026
2026,Profissionalizantes,Serviços atendidos pelo CSC - Secretaria e Financeiro,Prazo para ajustes na secretaria - Reabertura,71,20/03/2026,27/03/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Solicitação de Aproveitamento de Estudos - Veteranos,72,20/02/2026,30/04/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Solicitação de Aproveitamento de Estudos - Candidatos Ingressantes,72,17/03/2026,13/05/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Solicitação de Aproveitamento de Estudos - Ingressantes,72,17/03/2026,13/05/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Prazo para análise de aproveitamento - Veteranos,72,02/05/2026,02/05/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Prazo para ajustes na secretaria - Aproveitamento - Veteranos,72,05/05/2026,05/05/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Prazo para análise de aproveitamento - Candidatos Ingressantes,72,16/05/2026,16/05/2026
