Atividade;Produto;Categoria;Módulo;Data Início;Data Fim;Observação
Solicitação de Aproveitamento de Estudos - Veteranos;Graduação EAD;Aproveitamento de Estudos;2026-51;20/09/2024;19/02/2026;
Solicitação de Aproveitamento de Estudos - Candidatos Ingressantes;Graduação EAD;Aproveitamento de Estudos;2026-51;21/10/2025;11/03/2026;
Solicitação de Aproveitamento de Estudos - Ingressantes;Graduação EAD;Aproveitamento de Estudos;2026-51;21/10/2025;11/03/2026;
Prazo para análise de aproveitamento - Veteranos;Graduação EAD;Aproveitamento de Estudos;2026-51;21/02/2026;21/02/2026;
Prazo para ajustes na secretaria - Aproveitamento - Veteranos;Graduação EAD;Aproveitamento de Estudos;2026-51;24/02/2026;24/02/2026;
Prazo para análise de aproveitamento - Candidatos Ingressantes;Graduação EAD;Aproveitamento de Estudos;2026-51;14/03/2026;14/03/2026;
Prazo para análise de aproveitamento - Ingressantes;Graduação EAD;Aproveitamento de Estudos;2026-51;14/03/2026;14/03/2026;
Solicitação para Divisão de Turmas;Graduação EAD;Divisão de turmas;2026-51;19/01/2026;23/01/2026;
Ajustes de divisão de turmas pela Secretaria Acadêmica ;Graduação EAD;Divisão de turmas;2026-51;26/01/2026;30/01/2026;
Alimentação dos ambientes;Graduação EAD;Divisão de turmas;2026-51;02/02/2026;06/02/2026;
Ambientes prontos;Graduação EAD;Divisão de turmas;2026-51;09/02/2026;09/02/2026;
Fechamento de Período e Rematrícula (módulo subsequente*);Graduação EAD;Fechamento de Período e Rematrícula;2026-51;01/06/2026;05/06/2026;
1º disparo de livros (módulo subsequente*);Graduação EAD;Fechamento de Período e Rematrícula;2026-51;08/06/2026;08/06/2026;
Ação Rematrícula** (Ajustes DP/ADAP);Graduação EAD;Fechamento de Período e Rematrícula;2026-51;08/06/2026;12/06/2026;
Liberação de base no Portal de Negociações (Cobrança);Graduação EAD;Fechamento de Período e Rematrícula;2026-51;08/06/2026;08/06/2026;
Ação Rematrícula** (Alunos sem matrícula e adimplentes);Graduação EAD;Fechamento de Período e Rematrícula;2026-51;15/06/2026;19/06/2026;
Lançamento de notas - 1ª disciplina;Graduação EAD;Lançamento de notas;2026-51;27/04/2026;27/04/2026;
Lançamento de notas - SUB - 1ª Disciplina;Graduação EAD;Lançamento de notas;2026-51;25/05/2026;25/05/2026;
